,ano,cod,municipio,PIB,part_micro,part_meso,part_agro,part_industria,part_servicos,part_administracao,mun,UF,pop,municipio2,taxa_alfab,area_mun_2010,estab,taxa_estab,analfabeto,ate5_incompleto,5completo,6a9fund,fund_completo,medio_incompleto,medio_completo,superior_incompleto,superior_completo,mestrado,doutorado,total,afetadas
0,2002.0,3100104.0,Abadia dos Dourados (MG),23199.0,2.0,0.13,30.46,10.86,27.64,31.03,abadia dos dourados,MG,6436.0,,,881.064,9.0,0.107142857,,,,,,,,,,,,,0.0
1,2002.0,3100203.0,Abaeté (MG),93249.0,12.24,4.43,17.91,10.06,45.66,26.37,abaete,MG,22712.0,,,1817.067,44.0,0.077328647,,,,,,,,,,,,,0.0
2,2002.0,3100302.0,Abre Campo (MG),46354.0,4.74,0.45,30.1,5.5,34.46,29.95,abre campo,MG,13338.0,,,470.551,14.0,0.074074074,,,,,,,,,,,,,0.0
3,2002.0,3100401.0,Acaiaca (MG),9770.0,1.37,0.09,11.98,5.98,36.41,45.63,acaiaca,MG,3952.0,,,101.88600000000001,4.0,0.083333333,,,,,,,,,,,,,0.0
4,2002.0,3100500.0,Açucena (MG),24405.0,0.45,0.27,22.27,4.07,25.32,48.34,acucena,MG,11414.0,,,815.422,3.0,0.034482759,,,,,,,,,,,,,0.0
5,2002.0,3100609.0,Água Boa (MG),38447.0,21.67,0.42,30.19,3.66,23.69,42.46,agua boa,MG,18221.0,,,1320.2679999999998,5.0,0.0625,,,,,,,,,,,,,0.0
6,2002.0,3100708.0,Água Comprida (MG),26311.0,0.81,0.15,51.09,6.26,25.91,16.74,agua comprida,MG,2152.0,,,492.212,3.0,0.036585366,,,,,,,,,,,,,0.0
7,2002.0,3100807.0,Aguanil (MG),12969.0,2.92,0.27,29.15,5.3,31.13,34.42,aguanil,MG,3639.0,,,232.09099999999998,7.0,0.092105263,,,,,,,,,,,,,0.0
8,2002.0,3100906.0,Águas Formosas (MG),38583.0,10.21,3.39,11.14,6.08,39.78,43.0,aguas formosas,MG,18013.0,,,820.079,6.0,0.039735098999999996,,,,,,,,,,,,,0.0
9,2002.0,3101003.0,Águas Vermelhas (MG),59856.0,12.56,1.22,54.77,5.09,20.68,19.46,aguas vermelhas,MG,12217.0,,,1259.279,2.0,0.052631579000000005,,,,,,,,,,,,,0.0
11,2002.0,3101201.0,Aiuruoca (MG),21163.0,8.83,0.14,21.6,7.51,37.09,33.8,aiuruoca,MG,6438.0,,,649.68,8.0,0.05,,,,,,,,,,,,,0.0
12,2002.0,3101300.0,Alagoa (MG),7586.0,0.82,0.05,20.24,3.47,29.75,46.55,alagoa,MG,2809.0,,,161.356,2.0,0.14285714300000002,,,,,,,,,,,,,0.0
13,2002.0,3101409.0,Albertina (MG),13203.0,0.48,0.09,15.09,5.0,47.15,32.76,albertina,MG,2916.0,,,58.01,6.0,0.109090909,,,,,,,,,,,,,0.0
14,2002.0,3101508.0,Além Paraíba (MG),227308.0,20.43,2.2,1.97,7.25,73.3,17.47,alem paraiba,MG,34173.0,,,510.35400000000004,58.0,0.077747989,,,,,,,,,,,,,0.0
15,2002.0,3101607.0,Alfenas (MG),493122.0,41.86,3.28,8.54,21.34,54.62,15.5,alfenas,MG,69957.0,,,850.446,142.0,0.077468631,,,,,,,,,,,,,0.0
16,2002.0,3101631.0,Alfredo Vasconcelos (MG),24620.0,2.14,0.89,18.14,30.43,25.93,25.5,alfredo vasconcelos,MG,5159.0,,,130.815,5.0,0.055555556,,,,,,,,,,,,,0.0
17,2002.0,3101706.0,Almenara (MG),98891.0,25.97,6.61,7.83,9.04,47.11,36.02,almenara,MG,35741.0,,,2294.426,28.0,0.051376147000000004,,,,,,,,,,,,,0.0
19,2002.0,3101904.0,Alpinópolis (MG),67633.0,3.74,0.45,20.73,10.56,43.08,25.64,alpinopolis,MG,17503.0,,,454.751,42.0,0.124260355,,,,,,,,,,,,,0.0
20,2002.0,3102001.0,Alterosa (MG),43632.0,3.7,0.29,23.71,6.07,38.05,32.16,alterosa,MG,13262.0,,,362.01,13.0,0.068062827,,,,,,,,,,,,,0.0
21,2002.0,3102050.0,Alto Caparaó (MG),13107.0,1.34,0.13,19.42,4.72,35.34,40.52,alto caparao,MG,4888.0,,,103.69,3.0,0.06122449,,,,,,,,,,,,,0.0
22,2002.0,3102100.0,Alto Rio Doce (MG),32321.0,5.05,0.31,30.65,4.47,25.27,39.62,alto rio doce,MG,13794.0,,,518.053,3.0,0.035714286,,,,,,,,,,,,,0.0
23,2002.0,3102209.0,Alvarenga (MG),10330.0,2.09,0.11,16.77,4.83,27.22,51.17,alvarenga,MG,5045.0,,,278.173,1.0,0.111111111,,,,,,,,,,,,,0.0
24,2002.0,3102308.0,Alvinópolis (MG),52938.0,1.89,0.1,18.19,17.63,33.78,30.4,alvinopolis,MG,15644.0,,,599.443,20.0,0.098522167,,,,,,,,,,,,,0.0
